project_manager,employee_id,hire_date,Salary/Rate,employee_type,termination_date,Department/Team
Kevin Dunn,PM3806,16/02/2024,417,contract,,Quality Assurance (QA)
Kevin Freeman,PM6430,12/08/2022,74042,permanent,,Training and Documentation
Kevin Harper,PM4821,12/03/2021,68394,fixed term,,Network and Infrastructure
Kevin Howard,PM5947,21/06/2022,72412,fixed term,,Network and Infrastructure
Kevin Kaufman,PM5541,20/03/2023,80552,fixed term,,Web Development
Kevin Kirk,PM3550,07/11/2022,399,contract,,Web Development
Kevin Lopez,PM2313,17/11/2023,80734,permanent,,Training and Documentation
Kevin Lynch,PM7304,29/06/2021,592,contract,,Web Development
Kevin Moore,PM3585,05/08/2024,80007,fixed term,,Database Administration
Kevin Pruitt,PM2062,13/04/2023,71464,permanent,,Business Analysis
Kevin Smith,PM9518,10/11/2023,84979,permanent,,Quality Assurance (QA)
Kevin Solis,PM2171,31/01/2021,581,contract,,Quality Assurance (QA)
Kevin Williams,PM4050,17/05/2024,69852,fixed term,,Business Analysis
Kevin Wood,PM4615,25/04/2024,68502,permanent,,IT Support/Helpdesk
Kevin Wright,PM7850,09/05/2023,385,contract,,Business Analysis
Kevin Yoder,PM8652,19/07/2021,79376,permanent,,Cybersecurity
Kevin Zavala,PM4608,03/01/2023,75577,fixed term,,Database Administration
Kim Barnes,PM4062,31/03/2023,70487,permanent,,IT Support/Helpdesk
Kim Gallagher,PM9916,30/07/2024,422,contract,,Network and Infrastructure
Kim Jones,PM5248,25/02/2024,70484,fixed term,,Quality Assurance (QA)
Kimberly Anderson,PM2584,08/02/2023,524,contract,,IT Operations
Kimberly Arnold,PM7187,23/09/2022,414,contract,,IT Support/Helpdesk
Kimberly Bell,PM6149,28/02/2024,437,contract,,Training and Documentation
Kimberly Brown,PM4045,05/05/2024,75595,permanent,,Network and Infrastructure
Kimberly Burke,PM9904,08/12/2020,432,contract,,Mobile Development
Kimberly Charles,PM5793,10/06/2022,593,contract,,Business Analysis
Kimberly Cox,PM2727,18/05/2023,67555,permanent,,IT Support/Helpdesk
Kimberly Cross,PM2827,31/03/2022,67664,fixed term,,Project Management Office (PMO)
Kimberly Davis,PM8744,15/11/2021,79857,fixed term,,IT Support/Helpdesk
Kimberly Duncan,PM9516,25/01/2024,73641,permanent,,IT Support/Helpdesk
Kimberly Marshall,PM2716,22/10/2021,80456,permanent,,IT Support/Helpdesk
Kimberly Morris,PM9365,03/09/2021,74361,permanent,,Database Administration
Kimberly Schaefer,PM4958,07/01/2021,76648,fixed term,,Business Analysis
Kimberly Schneider,PM6382,28/04/2023,81653,permanent,,Database Administration
Kimberly Woods,PM9452,10/09/2023,81015,permanent,,Web Development
Kimberly Wright,PM4059,14/08/2021,72870,permanent,,Mobile Development
Krista Bishop,PM2612,08/07/2022,67429,fixed term,,Project Management Office (PMO)
Kristen Berry,PM9237,19/03/2021,543,contract,,IT Support/Helpdesk
Kristen Boyd,PM5861,09/04/2022,587,contract,,Database Administration
Kristen Orozco,PM5195,26/07/2024,80710,fixed term,,Database Administration
Kristen Salazar,PM7068,23/05/2023,448,contract,,Business Analysis
Kristen Schroeder,PM8111,12/12/2023,79045,permanent,,Quality Assurance (QA)
Kristen Snyder MD,PM2658,07/02/2023,71590,permanent,,Web Development
Kristen Suarez,PM7540,23/02/2022,473,contract,,Mobile Development
Kristi Ellis,PM6669,02/01/2022,65991,permanent,,Web Development
Kristi Osborne,PM8475,21/01/2024,82751,permanent,,Web Development
Kristie Rubio,PM2627,21/12/2023,616,contract,,Database Administration
Kristin Barr,PM8467,06/11/2023,71329,fixed term,,Database Administration
Kristin Dixon,PM9369,16/03/2021,674,contract,,Quality Assurance (QA)
Kristin Hernandez,PM6280,12/03/2021,68889,permanent,,IT Operations
Kristin Johnson,PM8911,07/07/2021,74393,permanent,,Project Management Office (PMO)
Kristin Morris,PM3653,23/07/2021,74240,fixed term,,Mobile Development
Kristin Neal,PM9536,18/03/2023,68461,fixed term,,Business Analysis
Kristin Schroeder,PM3500,02/12/2022,610,contract,,Business Analysis
Kristin Singleton,PM9973,31/07/2023,78577,fixed term,,Business Analysis
Kristine Woods,PM2985,04/10/2024,422,contract,,Mobile Development
Kristopher Bell,PM8225,07/04/2024,390,contract,,Web Development
Kristopher Chen,PM4406,13/10/2023,71772,fixed term,,Database Administration
Kristopher Colon,PM3626,11/12/2020,80508,fixed term,,Cybersecurity
Kristy Foster,PM3109,08/07/2024,383,contract,,IT Support/Helpdesk
Kristy Jackson,PM8255,09/05/2022,84593,fixed term,,Training and Documentation
Krystal Guerrero,PM9586,25/08/2024,83579,permanent,,Mobile Development
Krystal Humphrey,PM5254,29/08/2024,572,contract,,Business Analysis
Krystal King,PM6097,01/01/2023,445,contract,,Cybersecurity
Krystal Miller,PM8742,19/05/2023,72430,permanent,,Network and Infrastructure
Kurt Velasquez,PM5585,06/05/2023,76893,permanent,,Web Development
Kyle Alvarado,PM9075,21/03/2023,582,contract,,Project Management Office (PMO)
Kyle Clayton,PM2809,14/02/2024,70951,fixed term,,Web Development
Kyle Cole,PM9906,28/12/2020,474,contract,,Network and Infrastructure
Kyle Diaz,PM2479,14/09/2024,419,contract,,Business Analysis
Kyle Ferguson,PM9138,25/05/2023,81217,fixed term,,Database Administration
Kyle Jimenez,PM4639,09/01/2023,438,contract,,Mobile Development
Kyle Norris,PM3291,26/10/2021,69974,fixed term,,Business Analysis
Kyle Phillips,PM5299,14/04/2021,632,contract,,Project Management Office (PMO)
Kyle Richardson,PM2212,20/10/2021,578,contract,,Mobile Development
Kyle Sherman,PM8404,21/02/2022,434,contract,,Web Development
Kyle Stevenson,PM3033,26/10/2022,494,contract,,IT Operations
Kyle Whitaker,PM3507,15/05/2021,72283,permanent,,Business Analysis
Kyle Wu,PM2337,19/03/2024,76695,fixed term,,Project Management Office (PMO)
Kylie Boyd,PM7146,08/11/2021,526,contract,,Web Development
Kylie Smith,PM8902,25/01/2022,581,contract,,Web Development
Lacey Allen,PM7129,20/10/2023,72354,permanent,,IT Support/Helpdesk
Larry Landry,PM4240,25/02/2023,493,contract,,Web Development
Latasha Davidson,PM4521,14/11/2022,67573,permanent,,Network and Infrastructure
Latasha Ward,PM4002,24/03/2021,83175,fixed term,,Training and Documentation
Laura Bennett,PM7126,05/04/2024,605,contract,,Quality Assurance (QA)
Laura Clark,PM8570,21/11/2022,566,contract,,Mobile Development
Laura George,PM8158,25/02/2023,69813,fixed term,,Project Management Office (PMO)
Laura Gibson,PM3552,18/09/2022,73273,permanent,,Web Development
Laura Jackson,PM8317,21/07/2022,78532,fixed term,,Database Administration
Laura Johnson,PM5726,18/04/2021,81142,permanent,,Project Management Office (PMO)
Laura Livingston,PM6549,24/07/2022,77589,permanent,,Network and Infrastructure
Laura Mercado,PM6622,23/03/2022,74658,fixed term,,IT Operations
Laura Morrow,PM2982,22/01/2021,68868,fixed term,,Project Management Office (PMO)
Laura Pacheco,PM9731,12/09/2023,73020,fixed term,,IT Operations
Laura Porter,PM4079,29/05/2022,81781,permanent,,Quality Assurance (QA)
Laura Ramsey,PM2521,25/10/2022,549,contract,,Network and Infrastructure
Laura Villanueva,PM3392,01/02/2023,83981,permanent,,Business Analysis
Laura Walter,PM7852,23/05/2023,71820,fixed term,,Database Administration
Lauren Brown,PM4175,06/12/2021,68095,fixed term,,Business Analysis
Lauren Hernandez,PM4287,30/11/2021,83598,fixed term,,Business Analysis
Lauren King,PM9054,03/10/2021,431,contract,,Web Development
Lauren Mcguire,PM6510,02/04/2023,506,contract,,Training and Documentation
Lauren Munoz,PM8515,06/05/2022,70670,permanent,,Training and Documentation
Lauren Neal,PM2826,26/04/2024,81223,permanent,,Web Development
Lauren Newman,PM8982,12/09/2024,83267,fixed term,,IT Support/Helpdesk
Lauren Rojas MD,PM6226,17/04/2023,76816,permanent,,Mobile Development
Lauren Simpson,PM4245,30/12/2023,65377,fixed term,,Quality Assurance (QA)
Lauren Thomas,PM4058,25/04/2022,84927,permanent,,Cybersecurity
Lauren Williams,PM7116,02/05/2023,400,contract,,Quality Assurance (QA)
Lauren Wong,PM9843,08/10/2021,579,contract,,Project Management Office (PMO)
Laurie Garcia,PM6197,27/12/2023,78057,fixed term,,Cybersecurity
Laurie Hughes,PM2482,04/11/2021,68770,fixed term,,Business Analysis
Lawrence Taylor,PM9464,18/02/2024,85000,fixed term,,Project Management Office (PMO)
Lawrence Tyler,PM7073,27/08/2022,628,contract,,Project Management Office (PMO)
Leah Green,PM3291,24/01/2022,65469,fixed term,,Network and Infrastructure
Leah Kim,PM6584,12/01/2021,83876,permanent,,Web Development
Leah Mcdonald,PM3339,24/10/2021,79587,fixed term,,Database Administration
Lee Hardy,PM9578,24/08/2022,79705,fixed term,,Network and Infrastructure
Lee Knox,PM8983,08/05/2024,69430,fixed term,,IT Support/Helpdesk
Lee Underwood,PM2795,29/01/2021,67133,fixed term,,IT Support/Helpdesk
Leroy Davis,PM9846,13/02/2023,417,contract,,Project Management Office (PMO)
Leslie Doyle,PM5364,14/01/2024,75526,permanent,,Business Analysis
Leslie Esparza,PM7105,16/03/2022,70702,permanent,,Network and Infrastructure
Leslie Nolan,PM6006,14/05/2022,71164,fixed term,,Database Administration
Leslie Sims,PM9271,01/02/2021,82620,permanent,,IT Operations
Linda Franklin,PM8096,01/06/2022,73170,permanent,,Business Analysis
Linda Houston,PM7737,20/12/2022,79026,fixed term,,Network and Infrastructure
Linda Kelly,PM4187,19/12/2020,75283,permanent,,IT Operations
Linda Ortiz,PM9499,17/02/2023,79521,fixed term,,Business Analysis
Linda Phillips,PM2511,26/03/2023,71489,fixed term,,IT Operations
Linda Pruitt,PM6839,02/08/2024,81543,fixed term,,Business Analysis
Linda Rowe,PM6630,16/02/2021,72857,permanent,,Mobile Development
Linda Simmons,PM9568,10/03/2021,571,contract,,Business Analysis
Linda Singh,PM2656,26/12/2021,72337,permanent,,IT Support/Helpdesk
Linda Tapia,PM7957,07/09/2023,73394,permanent,,Business Analysis
Linda Townsend,PM6423,20/12/2021,481,contract,,Web Development
Linda Williams,PM8017,17/11/2024,66525,fixed term,,Network and Infrastructure
Linda Wise,PM6594,25/09/2023,74091,permanent,,IT Support/Helpdesk
Lindsay Johnson DDS,PM7032,04/07/2022,80701,permanent,,IT Support/Helpdesk
Lindsey Graves,PM8413,26/06/2024,84064,fixed term,,Project Management Office (PMO)
Lisa Baker,PM9151,17/09/2023,74080,fixed term,,Training and Documentation
Lisa Brooks,PM3157,30/06/2021,669,contract,,Network and Infrastructure
Lisa Carrillo,PM6528,02/03/2022,613,contract,,IT Operations
Lisa Chavez,PM4278,05/09/2021,76900,fixed term,,Network and Infrastructure
Lisa Cooley,PM3775,23/07/2024,478,contract,,Database Administration
Lisa Fisher,PM2279,09/08/2022,449,contract,,Database Administration
Lisa Franklin,PM9735,09/04/2021,403,contract,,Quality Assurance (QA)
Lisa Gonzalez,PM2863,24/01/2022,65419,fixed term,,Project Management Office (PMO)
Lisa Hall,PM3912,31/05/2022,512,contract,,Web Development
Lisa Horton,PM3096,18/07/2022,66070,permanent,,Network and Infrastructure
Lisa Johnson,PM7949,18/09/2020,82268,permanent,,IT Support/Helpdesk
Lisa Lee,PM3642,17/02/2021,670,contract,,Mobile Development
Lisa Lewis,PM4039,31/01/2023,67279,fixed term,,Web Development
Lisa Mckenzie,PM3310,27/06/2022,66526,permanent,,Mobile Development
Lisa Medina,PM9418,13/09/2022,517,contract,,Training and Documentation
Lisa Mills,PM5697,11/07/2021,79345,fixed term,,Training and Documentation
Lisa Mitchell,PM4894,27/10/2022,461,contract,,Database Administration
Lisa Moore,PM5537,15/05/2021,69769,permanent,,Network and Infrastructure
Lisa Munoz,PM7498,13/02/2024,81308,permanent,,Cybersecurity
Lisa Nguyen,PM6748,06/07/2021,68107,permanent,,Database Administration
Lisa Obrien,PM8794,28/11/2020,68546,fixed term,,Business Analysis
Lisa Parker,PM7200,14/08/2022,598,contract,,IT Support/Helpdesk
Lisa Payne,PM8285,19/09/2023,66156,fixed term,,Cybersecurity
Lisa Preston,PM9274,06/09/2024,69881,permanent,,IT Support/Helpdesk
Lisa Santana,PM2643,19/09/2022,80597,permanent,,Database Administration
Lisa Simmons,PM7512,30/05/2021,75127,fixed term,,Database Administration
Lisa Stevens,PM6700,02/12/2023,567,contract,,Database Administration
Lisa Wallace,PM9332,18/09/2022,416,contract,,Business Analysis
Logan Estrada Jr.,PM2429,07/10/2021,81134,fixed term,,Cybersecurity
Logan Moreno,PM2688,14/06/2024,67111,fixed term,,Project Management Office (PMO)
Logan Salinas,PM4347,25/06/2021,68887,fixed term,,Cybersecurity
Lori Ashley,PM8092,10/04/2022,77243,permanent,,IT Operations
Lori Bradley,PM3778,05/11/2022,633,contract,,Web Development
Lori Brooks,PM6527,18/10/2021,69518,permanent,,Training and Documentation
Lori Garcia,PM9127,11/12/2022,77350,fixed term,,Database Administration
Lori Johnson,PM8501,12/11/2022,527,contract,,Mobile Development
Lori Love,PM7274,30/01/2024,83157,permanent,,IT Operations
Lori Murray,PM5920,02/10/2024,641,contract,,Quality Assurance (QA)
Lori Rivera,PM5108,07/07/2024,503,contract,,Database Administration
Lori Rodriguez,PM4442,15/10/2021,65944,permanent,,IT Operations
Lori Sanchez,PM7825,18/08/2023,626,contract,,Network and Infrastructure
Lori Taylor,PM5202,16/12/2023,601,contract,,Mobile Development
Lori Wright,PM9518,12/08/2023,523,contract,,Cybersecurity
Louis Berg,PM2785,22/04/2023,78715,permanent,,Quality Assurance (QA)
Louis Miller,PM3186,14/06/2023,512,contract,,Web Development
Louis Potter,PM2519,16/10/2021,69281,fixed term,,Cybersecurity
Luis Anderson,PM6249,21/08/2023,75310,fixed term,,Training and Documentation
Luis Hartman,PM2969,04/11/2023,83513,permanent,,Quality Assurance (QA)
Luis Lane,PM2358,16/09/2022,70279,permanent,,Web Development
Luis Spencer,PM3165,07/10/2023,483,contract,,Quality Assurance (QA)
Luis Webb,PM9457,30/01/2024,84033,permanent,,IT Operations
Luke Hernandez,PM9403,10/04/2023,75468,permanent,,Web Development
Luke Johnson,PM9743,18/01/2024,72593,permanent,,Database Administration
Lydia Cabrera PhD,PM4233,14/04/2024,69563,permanent,,Quality Assurance (QA)
Lydia Dixon,PM6772,30/09/2023,69655,permanent,,Business Analysis
Lydia Wilson,PM8759,21/05/2024,506,contract,,Network and Infrastructure
Lynn Fisher,PM2409,23/02/2022,421,contract,,Database Administration
Lynn Morrison,PM3814,16/02/2023,655,contract,,Business Analysis
Lynn Watson,PM8082,04/04/2021,81149,fixed term,,Business Analysis
Mackenzie Mcpherson,PM6612,09/11/2023,83704,permanent,,Project Management Office (PMO)
Madeline Clayton,PM4704,07/01/2021,65341,permanent,,Network and Infrastructure
Madison Brown,PM8837,28/04/2024,79272,permanent,,Business Analysis
Madison Cunningham,PM4245,28/02/2024,77428,permanent,,Project Management Office (PMO)
Madison Ware,PM5134,14/06/2021,66094,fixed term,,IT Support/Helpdesk
Mallory Moore,PM7917,12/01/2022,79305,fixed term,,Cybersecurity
Mallory Palmer,PM9087,14/05/2024,75199,permanent,,Network and Infrastructure
Manuel Perez,PM5638,10/07/2021,78026,fixed term,,Quality Assurance (QA)
Manuel Stevenson,PM2350,12/01/2022,66833,permanent,,Web Development
Marc Swanson,PM5324,30/12/2020,609,contract,,Database Administration
Marcus Davis,PM4620,17/03/2022,624,contract,,Web Development
Margaret Elliott,PM6444,10/06/2023,79526,permanent,,IT Support/Helpdesk
Margaret Hughes,PM3282,08/08/2022,75916,permanent,,Network and Infrastructure
Margaret Johnson,PM5960,01/04/2022,72872,fixed term,,Web Development
Margaret Mcmahon,PM6600,13/10/2020,73904,fixed term,,Web Development
Margaret Pollard,PM5753,07/12/2022,604,contract,,IT Support/Helpdesk
Margaret Smith,PM5500,28/10/2021,74054,fixed term,,IT Operations
Margaret Thompson,PM6341,15/03/2021,467,contract,,Mobile Development
Margaret Wilson,PM9365,04/08/2021,67593,permanent,,Mobile Development
Maria Andrews,PM8251,30/11/2023,429,contract,,IT Support/Helpdesk
Maria Burke,PM6520,23/03/2022,80134,permanent,,Training and Documentation
Maria Lawrence,PM5961,21/04/2023,504,contract,,Project Management Office (PMO)
Maria Perry,PM7020,17/02/2022,73439,fixed term,,Mobile Development
Maria Russell,PM6212,18/03/2021,83314,permanent,,Web Development
Maria Smith,PM3759,03/10/2021,459,contract,,IT Operations
Maria White,PM7482,25/10/2021,66974,fixed term,,Web Development
Mariah Davis,PM2046,14/05/2022,83360,permanent,,Project Management Office (PMO)
Marie Francis,PM6167,29/08/2024,480,contract,,Network and Infrastructure
Marie Young,PM2016,09/07/2024,65289,permanent,,Network and Infrastructure
Marilyn Benjamin,PM6010,27/10/2022,77499,permanent,,Mobile Development
Marilyn Hernandez,PM8136,25/04/2022,72403,permanent,,Web Development
Mario Clark,PM5438,28/11/2022,71585,permanent,,Project Management Office (PMO)
Mario Conner,PM3276,10/04/2021,68344,fixed term,,Quality Assurance (QA)
Marissa Bell,PM8292,27/08/2021,83168,permanent,,Mobile Development
Marissa Hicks,PM8199,13/01/2022,469,contract,,Web Development
Mark Carlson,PM6508,24/08/2021,71692,fixed term,,IT Operations
Mark Carpenter,PM3456,29/02/2024,448,contract,,Business Analysis
Mark Cole,PM3770,20/01/2022,387,contract,,IT Support/Helpdesk
Mark Flores,PM7473,27/02/2023,80763,permanent,,Web Development
Mark Hester,PM3488,23/10/2023,83526,fixed term,,Web Development
Mark Holt,PM2623,21/12/2022,512,contract,,Mobile Development
Mark Jones,PM6565,28/04/2021,71675,permanent,,IT Operations
Mark Little,PM7725,26/10/2022,80756,fixed term,,Training and Documentation
Mark Madden,PM5542,27/08/2021,71005,permanent,,Network and Infrastructure
Mark Nguyen,PM3483,21/11/2022,79809,permanent,,Database Administration
Mark Potter,PM3124,07/09/2023,69282,permanent,,Project Management Office (PMO)
Mark Walton,PM8560,07/10/2023,80238,permanent,,Cybersecurity
Mark Weaver,PM4342,28/10/2022,651,contract,,Business Analysis
Mark Williams,PM6794,30/07/2023,524,contract,,Web Development
Mark Wilson,PM4272,30/05/2023,74178,fixed term,,Project Management Office (PMO)
Mark Wright,PM6962,03/04/2022,605,contract,,Quality Assurance (QA)
Martin Murray,PM6449,07/06/2021,84865,fixed term,,Web Development
Martin Stevens,PM5447,07/09/2022,72995,permanent,,Network and Infrastructure
Martin Warren III,PM3577,08/03/2022,662,contract,,Network and Infrastructure
Marvin Garcia,PM5158,18/10/2022,83025,fixed term,,Cybersecurity
Marvin Gonzalez,PM8733,10/11/2023,67348,permanent,,Web Development
Mary Boyd,PM6782,03/01/2024,633,contract,,IT Support/Helpdesk
Mary Burns,PM8370,11/07/2024,563,contract,,IT Operations
